message,aid_related
I would like to communicate with my family I don I t have any minutes on my cell phone please help,1
some people are sleeping outside on a field at Lilavois 50 and are dying of hunger since January 12th.,1
Friend I dont know what is going on with you for I hear of what is going on but i have not hear any news about you. I hear what happen Carrefour and petion-Ville,0
"i'm asking for help to this valley especially Santo, Sath, B",1
a lot and we don't have any news of him. We haven't even found a body so we could at least know he is dead. The hospitals need to be checked and the registry books also. Please help us!! ( This seems to be the end of another message ),0
"We have a big problem in Jacmel, we left Port-au-Prince without food, clothes and money. we are really in a critical situation.",1
We would like to receive some help in the Section Communale. There is a lot of violence.,1
I would like to know how food is distributed.,0
I can play carnaval Anbasad Camp there I think this is a simple comment about a creole rap group - Anbasad Camp. Does not refer to location or read as a cry for help. TK,0
A cold front is found over Cuba this morning. It could cross Haiti tomorrow. Isolated rain showers are expected over our region tonight.,0
ples give us cell cards ( cell phone minuts ) we cannot find cell phone cards to buy,0
"Please we need help, food and toiletries.",1
A weather forcast. . of a cold front in cuba and could pass through haiti by night..,0
"food water mediacation, we dont have tents to protect our selves, i am using my cistern. lovation not provided",1
good people help us. god bless you and us too,0
"The ADJS group house in Jacmel. They are talking with people in the southeast. There are a lot of victims and people suffering, especially in Jacmel. Something about an entire house collapsing. The road sot pop in Jacmel is cut off.",1
This is a request that the aid services not forget the south-east region because there are a lot of victims and people suffering there. A number is given.,1
Where can people in Fort Mercredi can find food and water?,1
whos next to fort mercredi i would like food and water please,1
The wounded in the Saint Michely hospital have no medicine. (This looks like part of a message that got cut off),1
"We are about 500 people. We're in Martissant 23, Village Dantes. God bless you.",0
"Digicel let me go through, it's an emergency",0
Where can I find Capital Bank please?,0
We are in Plaine du Cul-de-sac. Where's the nearest food distribution?,0
I am listening to Radio Dabon. We need help and doctors in that area. We are unable to move around because we have no gas. Dabon is located close to Leogane.,1
"The message might be saying that they have been stuck in the presidential palace ( pal ) since the same Tuesday ( as the quake ). They need water. The message says they are not finding a little water. No names, no number of people given.",1
"URGENT ACTION NEEDED --this is follow up from previous SMS in regards to possible delivery... possible to deliver my baby in an other country, does not matter what it is..",0
Please add airtime on my phone. Thanks,0
"We are in dire need of food, water and temporary shelter. We need to know where we can get supplies. We are located in Frere Boukan, La plaine.",1
"The road is damaged and there is no gas, would like to find a motocycle. It costs 500 to go to Port-au-Prince. No one has any money.",1
I woul like to know if aide is only available in pap as the provinces where badly hit as well,1
We have a factory that is on FIRE on road to the airport near Sogebank. It's starting to burn several nearby houses with documents left in them. Please come and help us!!!,1
"Good morning Radio One, there are a lot of victims in Fonds Verettes with no one to speak for us",0
Can you contact a post radio station for us because w do not have any representatives for any assistance in F V R T.,0
"Our area, because we are in an area that has many victims with no help.",1
"I am in Petion Ville, in b. .. incomprehensible, we have no water, there is nothing, there is no money. What is being given in Petion Ville and where?",1
City that i'm near is Port-au Prince for me 'm at Titanyen,0
We are a group of police and we found a kid on road 10? st anne please send rescue,1
"Dans la zone de Saint Etienne la route de Jacmel est bloqu, il est trsdifficile de se rendre  Jacmel",0
"We are hungry, we are in the streets. We were robbed we are currently in Vivi Mitchell, Route Freres",1
where they should go for water today,1
"I don't know Rue du Muguet, Route de Desprez 7. Is there another location on the Airport Road?",0
We live in La Pleine. Since Tuesday we've been sleeping on the street. Hunger is killing us.,1
"We live in La plaine, we've sleeping in the streets since tuesday. Our house is destroyed. We are dying of thirst and hunger. we can't take this anymore. we'd like to know when the help is coming.",1
I am in LaPleine. Precise location is Carrefour Marin.,0
There's a fire at the Perpetuel Secours Church. Please send firefighters.,1
"I am from Anse a pitree my house which was in Delmas 32 was destroyed with everything I had inside. I went back to my hometown of Anse a pitrea. I would like to know how to get some help, because I have absolutely nothing!",1
"We need food, medicine at lilovois 47 Monarque.",1
"We have no food and water in Santo 15. They are distributing food and water everywhere, but we need it here too",1
"We are in Galet, we are hungry - Tabarre 41 a little further up from the american embassy.",1
"We have a commitee from Santo 15 nameAjeans: Youth Association in action for a new society that was founded in September 2009, the president is..",0
There are a lot of criminals in Jacmel city. We are asking the police to come there.,1
We are dying of hunger in Petion Ville,1
I'm exactly at Akay in an area they name Toman 43 miles near by Kabar in a location name Kafou lachomy.,0
What time will the American Embassy open tomorrow?,0
"We are a construction firm ( South African? ) Let us be recruited for your civilians, 2 architects - 2 stockholders? Wondering the needs of the moment.",0
What is being done for Jacmel - there are many people trapped underneath rubbles at college Latriniti help,1
Can people enter their houses? When will we have electricity?,1
We need all kinds of help in Bon Repos Route ONA VILE. The people really need help!!!,1
In what area is Muguet street? please is it in the city or in petion Ville?,0
"Please, call or write us if you need more information or if you need our help like beeing translators, food distributors or any services else from us. Th",0
Is it true that the political city will held in Hinche?,0
"in what field would you need me to speak creole. French, half english, ( MW? )",0
"unrecognized characterse initial formation accelerated, organized by MENFP, financed by BID, launched in truncated",0
Bizoton desperately needs help. We are humiliated.,1
Where can I find a car to leave in?,0
Hello Good Morning We live on 31 Delmas we are without water without food and what we had have finished Please do something for us!,1
"Carrefour Feuille extended, we need help. We are waiting!",1
I am in Carrefour on a street near EDH ( Electricity of Haiti? ) Help us please,1
"Everyone, do not forget the people of Merger, we don't have any water, we are hungry. If it rains, we will all die",1
"Digicel, I have a problem, my family doesn't know where I am, I can't call, please help",1
Please. Send humanitarian aid so we can survive. We are in Delmas 40B village Musso on the golf course. Thank you,1
good evening we ? carrefour feuill ???we are dying of hunger and ther is no water pleas help us,1
the people in the village of god need food and water so that they can stay. It is isn the university of Kiskeya ( in the area of delams 35 right of the main delmas road ). pleas respond,1
Can someone who has a visa travel out. What can he do?,0
there are alot of victimes that have arrived ath the Marchand Desalin and nan Ranboto hospital. they do not have enough supplys or specialist ( surgeons ) i would like this looked into,0
"And in St. Marc, just came to save their lives",0
talk to me about the earthquake please.,0
?? port au prince ?? and food. they need goverment aid and international aid thak you. god bless haiti,1
?? port au prince ?? and food. they need goverment aid and international aid thak you. god bless haiti,1
I am in Liancourt a province in the artibonit. we have recieved alot of victimes from pap. in different condition. some are very serious some are not. pleas send help for these people.,1
"Hello, we live in La Plaine, close to Route National #1, between Carrefour Vencent and bary zone. We need food, water, tents etc. ..",1
we are in leogane mathieu abitation 3rd communal section grand riviere we are waiting.,1
"We are at the top of Fontamara 43 (area of Carrefour), at the top of the hill named label.. unrecognized characters. We did not get any assistance: water, food, tents, medicine.",1
"PLEASE, We are in Nazon, Sylvio Cator street. We need water, food and other truncated",1
"Good morning, to everyone that is listening in Miami and other countries helping. I have my wife and five kids that will starve to death in Haiti if they do not get help. PLease help them! God will bless you!",1
"We are in Delmas 95. We need food, water, clothes. Our house was destroyed.",1
"Good afternoon, we are a group in Bon Repo in Loubens street. We need help in every sense of the word, but nobody is thinking of us. Please do something for us. Bye",1
"Please help us! We are in Primati Malgro. They gave them stuff but we did not get any. It's like you have to fight get something. We are hungry, thirsty and we are suffering. Please help us!",1
"I know of an internet service in Croix des Bouquets, Falaise Street. The more important would be to open wireless zones for everyone that has laptops",0
There's a group of people under the rubles at Village Solidarite,0
I am in Delmas there is a problem with water,1
Watch out! This is a warning! There is a bad foul smell coming from the well that is lingering in the area. Near the CHurch of God near the yard of Woolio Nway's house!,0
I live in St. Louis. I have some problems. Can take me some place because I have problems in Port au Prince. Thank you for your help!,1
There are many people badly wounded who had to go who can not eat.,1
Noone has come to visit us in Delmas A1. We need food and water!,1
go to delmas 1 near goldstar in painson s. a yard - we need help,1
"We are in Jean Rabel, we have nothing to eat. Please come to us because we were in Port-au-Prince, we lost everything",1
we have a lot of problems at Cap Haitian. The Hospital cannot take anymore people. Come help us please,1
"I need help rescuing someone under the rubble at the Caraibean University, Delmas 29 #5.",1
"In Cap Haitian there are a lot of problems : lack of food, medication, housing",1
We are asking all United States agents to send money to Cap Haitian too,1
"hello my brother and my sister are in jan rabel we dont have anyone with us, if there is something we can do for the population we can do it because we are from port au prince",1
"I am in the town of Jeremie in the Grand'Anse Department. My boyfriend died, I'm 8 months pregnant, I don't have any money. Whatever you can do for me will be a deliverance because 12 January",0
"I am with the people in Delmas 33 Z Silo that hit in the head, please send help",1
We are from leogane -st mathieu -we need food and water - and shelter because of the rain,1
We just need to send this message to the Organization to support people because they are hungry. They need food and water.,1
"Good evening, I hope you Keep La Tortue in mind because a lot of people are coming on the island that are wounded, they don't have clothes or food for these people.",1
"We ARE in Port-Margot, in the Northern part of the Country. It is 2hrs driving from Cap-Haitian, We do not have anything to survive. We are dying, please help us.",1
Thanks to our donors for all support.,0
"Please, what can you do for us. We do not have anything.",0
"Cannot locate on map, not sure if in Port-au-Prince We need aid nan delma (?) 9 rue de cosquer 16",1
We heard that they are giving things out. We didn't get anything to eat or drink. Please bring some aide to carrefour!,1
"My house is destroyed in Carrefour. My house is destroyed in Port-au-Prince. The money that the government gave me is lost. My children die, but I am not hurt. Please if you can help me protect the house. ...",1
(missing letter on first. probably t) My entire family would like you all to (obscured by symbol. probably do) do something for me because my livelihood is in Port au Prince,0
"Good evening! Please, can you help me. Since the earthquake, I left Port-au-Prince, I wonder if you can give me a digicel card so that I can call my family ( parents )",1
"We are AMACHU, a humanitarian organization working in Delmas 75. We need aid because so many people have no food or water.",1
"Medicine and tent needed. We are counting on your assistance, because people are asking us to find this stuff for them. a hot plate of food per day. Thank you.",1
"Milk, protein, soap, juice, antibiotics, vitamins, sardines, hypotensives, anxiolytics, sleep aids, hypoglycemiants, antiflu, antitussives, anti-aney. .. ",0
I thank you for all the good work you're doing in the country. There are a lot of dead people here and a lot of people coming from P-a-P who are here with us in L'Artibonite,1
"I need some medical equipment and food in the area of Fontamara, 43 Place. .. ?",1
"miques, antihitamines, diapers, folic acid, antifungus, vitamin C, feminine pads, vaginal solutions, klorox, disinfectants.. ",0
"Hygienic . .. , mobile toilets, batteries, generators, DLO? toiletries, clothes, linens, underwear. .. 289 women, 181 men",1
"taking our case into consideration, movement of peasants ( cane ) from Deslands. .. . please advise",0
. .. i with limited means. Certain patients come from the capital.,0
"We are in St. Nicholas hospital in Saint-Marc, we need water, food, medicine. And many people are leaving the capital to come into the city now, send help.",1
"My friends I'm living in a difficult situation, I have family living in Paris I want to communicate with them because I need their help put a top up my phone ( incomplete, contextual educated guess ( mete ti kat pou mwen a please top up my phone )",0
We are the AFKA oragnisation in the city of Arcahaie. We have a lot of houses that have been damaged. We need help.,1
I am a simple citizen who lives in the area of Mole Saint Nicolas. I (missing word. probably want) all Haitian and international leaders to know that in this area we also need (obscured by symbol. probably aid) too because (it's cut off from there).,1
"There are about 500 to 600 of us in a temporary shelter in Grand Goave, every day more people are coming, we have a lot of problems like need for drinkable water, food, Medicine",1
we are asking for shelter. we are asking for help please we can't take it anymore. Things have become too expansive and there is no money to buy any of it. We are in Grand Goave in Kanpion ( or Campion ) before. .. . ( the message is incomplete ),1
I don't even have clothes to wear.,1
"The reponsable authorities please, I have a broken leg, I lost evrything I do not have a home to stay, no money no food",1
"Good evening to the staff of Radio Nirvana. We have someone who is living ( sleeping ) on the streets of Port-au-Prince who needs help to go to Cap-Haitien, he doesn't. ..",1
"We do not have any money to pay for a bus, we are not people from the North, we do not know where to go and we already lost many at this present moment, In this case what do we do?",1
I come back and nothing is the same my clothes are not there for me to put on,0
"Send cards ( airtime, calling cards ) for Digicel clients",0
Fontamara 43 Polish church body of christ people in need please advise,1
We need food and water at Croix des bouquets and Noailles.,1
"Digicel, please put some credit on our phones",0
"Good evening. Please We need help in Delma 16, number 27. We don't have water, nor food. We don't have tents. Thank you for your understanding!",1
"Come help us because we do not have enough water and food. We are in delmas 16, 27",1
Good afternoon. We live Dubois ( at the top of mountain Saint Antoine ). Hunger is Killing us!. WE NEED HELP!,1
The manager of digicel phone compagny sent out phone cards for his clients,0
Good morning and good evening. I would like for their be radio announcement about the diaster. everything is in the streets and piling up.,0
survivors at lalue near olympic market,0
"Us, the people of Matye 3, in the Grand rivye seksyon Leoganne, we are waiting for the help that they are bringing to us patiently cause we can't wait anymore",1
"their is someone that left their home and never remembered to call their family, they will never know what happen",0
"their is alot of problems, their is no money for the people",1
We need help. We are a Seguineau road at the corner of nazon and bertholy. We really need water.,1
"my friend i have heard nothing again. i have a lot of problems. what u give i'll take I am in Jeremi, i want u to help me",1
"Their is silence no bus 65. I hv no food, water and alot of other things. Please come",1
"We are more than 50 people sleeping on the street. Please help us find tent, food.",1
I need water in Carrefour- Bertin,1
"Please do everything that is possible, thanks. god bless you",0
The town of Les Cayes needs food items to assure. . ( MESSAGE INCOMPLETE ),0
aid should reach the victims outside the city of p-au-p. we are in Gonaives when u get this message,1
sos water and food. need to find where this adress is located. ..,0
We need help please. .. call us,1
We haven't gotten help like water and food. Chiefs of the National Television,1
"so i am asking you to help us becuase there is people that are dying from hunger and thirst at the THN, there was a truck full of big boxes that.. ",1
They have brought something today but the heads of the National Television took all of them for their family members. They had not done a fair distribution. Please help us. THanks.,1
Please save me! I am in Section Grand Riviere Leogane. I have one who already has a fever and non-stop diarrhea. I haven't found a hospital that can help me!,0
we re in carrefour rue ray near the edh building. we cannot take it any more. everything is finished. we cannot find the people.,1
rin more or less 3000 people - incomplete,0
I'm really happy you guys received my message. Please come and see us. We need first aid and all the help we can.,1
"We are in Leogane since the 12th january We need water, food and shelter",1
"We have a lot of problem in Port-de-Paix, North-West also because a lot of people left Port-au-Prince to be there.",1
This person wants to know what the autority plans to do.,0
This did not just happen in Port au Prince it's up in Pot de Paix too.,1
I am outside of Port-au-Prince a region in the North West. The case is very urgent,0
I need to know what's going to happen to the houses that haven't fallen yet?,0
I need all types of help for the people who survived the earthquake.,1
"Please send me some minutes so I can call my family in Paris, France. I need to call them so they can send me some help, relief because this is not good!",1
"I'm at St-Marc, I just came up to save some lives and they need it. They dont have shelter nor do they have food.",1
The US sent help. I need some help I am in St. Pierre.,1
"Onere and some food. Thanks for your understanding. ( Translator's note : are we getting the full messages? Most of them appear to be bits of sentences, like this one )",1
"Us, the tradeswoman of dessalines, rue perodin. we have problems. I have a lot of people in my house. Help me!",0
Since the disaster I have been staying at a friends house in St Mark. I live in Carrefour but my house was destroyed and I lost everything! I am having difficulty living because I have nothing!,1
Message reads : Survivors are still sleeping in the streets. Please bring some advices for them for us please thank you.,1
I was in Port-au-Prince and went to the north-west department. I want to know if internet is working in port-au-prince. Thank you. Let's keep contact,0
"I have no card, tell me what kind of SMS I need to send",0
"Around my house, there are no cyber cafe for me to use",0
"so, in the message you spoke of registering names. I'd like to know what purpose this serves. help me out. thank you",0
I would like to leave this country and at my parents house in the USA. We are alone in Haiti. This is my number,0
The cyber cafes are not all damaged at Clercine but their owners left for the countryside because of lack of security,1
"S. O. S. Come to our rescue regarding water, food and medical attention and perticularly tents for us to sleep well with the small children",1
"Please help me : I don't have food, I don't have any money to do anything. when are you gonna come see me? Please answer me.",1
Westnet we're in avenue Muller neighborhood and in Road St Alexandre.,0
It's up to you to do something for me. I am waiting for the response. You can call me.,0
"Don't forget the provinces like Mawouj in a little underprivileged area where a lot of people coming from Port-au-Prince came in, the food products became very expensive",1
I am a surviver of the earthkaque see how you can help me,0
all the internet places that are closer to me they are not operational because there us no electricity so i can' t charge my battery,0
The internet caf Net@le that's by the Dal road by the Maranata church ( incomplete ),0
"I am not in port au prince, I am in Limbe do you know a place where there is working Internet",0
no cybercafe working close to where i live,0
"This is the Arab from Canal Bleu ( Artist-Journalist ), I have nothing that I want, along with all my family and I have a mission to give news about all artists that are alive. Canal Bleu seems to be a TV station not a location.",0
Telenet Internet Cafe on Plaisance's old building space hello digicel communication,0
"Please bring us help today, if you continue down siko ( ? ), in Carrefour, because we're dying of hunger",1
the cyber cafe that is functioning is SERVICE MATICS the address is in front of the BRASSERIE LA COURONNE.,0
K aTIS RAP CREOLE. CONTACT ME FAST. FAST VIA SMS OR CALL URGENT it is very very important because it today im gonna do wats I got to do over the bariers am allready waiting,0
please hurry hurry today bring food with water for us in route of SIKO IN THE ZONE OF CAFFOURFEILLE. we urgently waiting.,1
there are no rooms at the mayors office that have internet access,0
radio one is givin all the people that has people abroad free call so they can call their people over seas,1
We have the internet at the Internet Cafe by Ti Place Cazeaux,0
Please give me some info on every aftershock this is a message,0
"we need help. kids need assistance at fontamara 37. kids sick diarrea, flue, thanks NOTE: could not locate fontamara 37 on the map.",1
HELP FOR THOSE WHO ARE HANDICAP IN THE ZONE OF LOBOD IN KANPEREN,1
i am at delmas 40. we have nothing to eat. Location approximate. .. could not find delmas 40 on map. locate gps point midway between delmas 32 and delmas 48 Sebastien Cournoyer,1
We need help please at Titus Magloire Ambroise street we need every help group to contact the emergency opersonnele thank you,1
"Hi, I have a big problem I need to call overseas and tell them I'm ok but I have no cell phone minutes, how can you help me in that respect",0
We need food and water at Sicot street in Carrefour. Help us please.,1
"they closed the bathroom and shower at the TNH, so we can no longer do our physical needs. .. . there is some children that poop on themselve because. .. Note : Message cutoff, need to look at other. .. . Sebastien Cournoyer",1
MY PHONE HAS NO MINUTE CARD I CANT SEND ANY MESSAGE I WOULD NEED INTERNET I CANT CALL THE PERSON THAT COULD SEND THE MESSAGE.,0
cyber cafe global univercell cabaret 35 km from port au prince,0
we are in need of food. water medicine we are in delma 33 route ALYANS 4 AND 5 zone Jerale batay. we are a family of 750 survivors we ar angry bad. help us please,1
"Sodecom cyber cafe. We are based in Bassin Bleu, rue Saint-Michel, after the old Teleco building. We are functioning.",0
ADDRESS CYBER CAFE IS MS NET ADRESS ITS HAITI PORT DE PAIX LACOUPE.,0
i need a card to call my family.,0
"We are a few kilometers in the road to jacmel, Please come help us",1
"Please there are a lot of people by Avenue N, Baryejo, and Croix-des-pres who need help, they are screaming for help, please come help us please",1
WE FOUND A LOT OF PEOPLE IN ( KOMIN MONBIN KWOCHI ) THOSE WHO ARE VICTIMS SOME LOST THEIR LIVES SOME LOST THEIR HOMES. ALL THIS PEOPLE LIVES IN ( MONBIN KWOCHI ),1
We're asking to help for those people,1
the closest cyper cafe is express nety in croix des bouquet befog the police station. TN 4th message i translate advertising a cyper cafe,0
"Location - Family Christian Academy (school yard). Need food, water, medical, shelter. Not sure of exact location but there is a Christian Academy near Port-Au-Prince.",1
People are saying that alot of artists died. I think me and other people would like to know the names of those artists that left us,0
Apparently there's a wave of cold upon Cuba this morning. It could go across haiti this morning. There will be rain for today in our region,0
HELP FOR THE CENTER OF FLORE around 400 demunis in DAMIEN to unibank in the yard of Pam pak,1
We are 350 survivors in kenskof in guibert 67. We are starving.,1
"Need food, water and medicine",1
HELP ME PLEASE GOD WILL REPAY YOU THANK YOU. ADDRESS: CYBER CAFE MS HAITI IN THE YARD OF RUE NOTRE DAME LAKKOUP #156 ALL THE INSIDE,0
I am not in town. I am outside in a zone called Dezam Komin Veret in the artibonite. We have been hit this morning by an earthquake and the house has crumbled. Please help.,1
CYBER CAFE THAT IS FUNCTIONING EXPLOSION,0
Emergency aid needed at the Centre Flore for Damien on the grounds Pampak of the unibank,1
"We need potable water, medicines, food, lamp oil, and security. Please call to get location.",1
i need a litle credit on my count,0
"Good morning, we are in Pelerin. We need some food, some water and some hygienic supplies. Please come, you can't let us perish, please",1
we are dyin of thirst in MARTISAN 25BIS itsmedicine without frontier they brought food an water for us..,1
Need help as our houses have been destroyed at Delmas. We are now staying at Thomassin 42,1
PEWODEN FIFTH SECTION OF THE DEPARTEMEN OF L'ARTIBONITE IS LETTIN U KNOW TODAY THE PLAN WE HAVE FOR THOSE INJURED IN THE EARTQUAKE. LIKE MANY OF THOSE IN P.,0
"People that went back to live, who left us empty handed. We're asking, the people who are concerned to bring help to almost 2000 people living in difficult situations right now",1
pleas we are in Renaissance village on the new road. we are dying of hunger pleas help TN New road is the road built by the army that links city solei directly to the national 1 highway. there are many old sugarcane worker villages turned into slums or poor residential neighbor hods in this area,1
After the earthquake i cannot call any body. even when i ihave 10 signal.,1
"after the earthquake, i canot talk to nobody even at 10",0
There's only one cybercafe in the town called MOLE,0
i salut you for all you are doing to help us now. this is actually for the adress of a ciper cafe that is working. i will send it later. TN we had several messages about this yesterday. i suspect this is guy is advertising that he is up and running.,0
Please We need help at the Altidor Center at Thomassin 32.,0
the people of monseigneur Giyou between slelak street are dying of hunger. TN monseigneur Giyou is a residential neighborhood near the st Therese school in downtown,1
The address is new life bo kay in St Fille,0
NET ONE WIT LATORTUE IS FUNCTIONING IN THE ZONE OF DEKAWO. FREDO NET AP F,0
I WOULD ASK THE GOVERMENT AN ALL THEIR COUNSEIL HOW OR WHAT THEY COULD DO TO TAKE THE PEOPLE OUT POP MALL SAINT NICOLAS CAUSE THE PEOPLE THAT ARE SELLIN THEY ARE. .. . ( MESSAGE INSUFICIENTS ),0
The prices have doubled for food in Mole Saint Nicolas. A cup of Corn is 45 Gdes now.,0
We don't have working cyber in our region,0
An Association named J. B. D. M ( Jeune Bon Repos pour le Developpement Mole St Nicolas ) asked for food for the people of Saint Nicolas. .. .. . because cost 50 dolars. Translator's note : That's too much!,0
"The people cannot find food, hunger is killing them, please send the police so the street vendors can lower the price of the food.",1
there's a problem with the signal which blocks transactions,0
GOOD DAY DIGICEL GIVE ME A CHANCE SO I CA CALL SOMEONE PLEASE,0
GOOD DAY! SWEETHEART I LOVE YOU FOREVER BABY,0
"The association of the youth in Bon Repos for the Development of Mole St Nicolas are the market trying to find gasoline, the gallon for  50",0
"is there a working hospital at present that is taking care of wounded people? people with Gynecological issues, fever or any sickness?",0
"Good evening, the organizations that are helping Haiti, it is not only the capital that needs help. In the South, there a many people who left Port-au-Prince with nothing, they are hungry, please help!!!",1
GOOD DAY DIGICEL I DONT KNOW UR WEB ADDRESS,0
HELLO MOM CALL ME BECAUSE I CANNOT GET THROUGH..,0
BRA BALANSE PLEASE THINK ABOUT ME THANK YOU IN ADVANCE,0
"This is a spam message about receiving money and verifying the account number, etc.",0
we have 8 days without food carfour debwos in the yard of the Acra no has gotten to us please help we ask that someone gets to us..,1
I CAN'T GET THROUGH ANY OTHER PHONES BUT DIGICEL,0
These people there are problem with the food for the people,0
ALL THE CYBER CAFE THAT ARE NEAR ME ARE NO OPEN BECAUSE THEIRS NO POWER FOR THE BATTERY TO CHARGE ONE HOPE THAT I HAVE IS. ..,0
IS IT YOU THAT WOULD BE CALLIN ME AT MY # OR IF YOU CAN GIVE ME SOMEWHERE I COULD TALK WITH YOU OR MEET US,0
Please help us we are hungry and thirsty in Siko if it goes on any longer we will all die.,1
WE ARE IN THE STREET DOWN BY HAITIEN COAST GUARD NEXT TO EDH ( WISH IS THE ELECTRIC COMPANY ) THAT IS ON THE ROAD PLS SEND THE AUTHORITIY RESPOSABLE BECAUSE WE ARE IN THE STREET THANK YOU,0
"Please! Please! In the church Saint Antoine ( St Anthony church ) located in Nazon ( Port-au-Prince in downtown ), in Impasse Medilien, ( Street or dead end street ) there are 100 people still trapped under the rubble. Please come and help us. Please in Nazon. ..",1
PLEASE SEND A TECK IN OPTYON AN I FOR ME,0
PLEASE!!! WE NEED FOOD WATER MEDICINE WE ARE IN MALIK IN THE ZONE OF BOSYE,1
"We are in Leogane and we need food, water and medicine. We live in Ti Riviere Massone",1
We need 2 or 3 tents. Please. Thank you!,1
EYA WE ARE ASKING URGENT CARE FOR THE ELDERLY.,1
I'M IN FRONT OF THE EMBASSY CALL ME,0
mais gate treize village zao impasse a. .. help me it's salou,0
WE NEED HELP WE ARE STARVIN WE ARE IN GRAND GOAVE PLEASE,1
"please, which cyber cafe is in service? no other information noted within text.",0
self eplanatory. read text msg.,0
"i would like for you to come to haiti, i've suffered too much, i cannot take it anymore, i have no internet where im at, write on the phone please",1
"we need help. water and food. Merger, on Leogane Road...Merger could also mean when the road merge.. not sure. ",1
"we are at Avenue N, rue chili right by american base. we dont have any food",1
"Goodday, there is a cybercafe that is available on Route National #1 near the corner of Vincent",0
We in the merge of the road of Leogane and St Antoine we need food and water,1
Request me minutes to ask for help,1
"Organization that are working in Haiti, I do not have any ways of taking care of my family here",1
"Should we crawl for you to help us in Cite Boston, route nationale #1. ..",0
I would like to know if the aid is for the people of Champds de Mars only because I am at Carrefour Fueille and I don't see anything serious going on because everything is on top of everything.,1
